timestamp,frame_number,plate_number,yolo_confidence,ocr_confidence,flood_depth_cm,flood_status,source,selected_variant,consensus_matches,consensus_samples,consensus_ratio,crop_width,crop_height,crop_brightness,crop_sharpness
2026-08-06T12:28:39.766,17,MH2233,0.7804,0.9770,0.0,SAFE,D:\Visual Studio Projects\flood-npr-system\Codes\simulation\input.mp4,gray,3,4,0.7500,80,33,66.35,5681.85
2026-08-06T12:28:39.769,17,WSR1480,0.7862,0.9268,0.0,SAFE,D:\Visual Studio Projects\flood-npr-system\Codes\simulation\input.mp4,original,3,4,0.7500,75,32,83.33,5267.05
